QTYRANK,DOLLARRANK,INDEX,ITEM CODE,DESCRIPTION,PRICE,VENDOR,Month,CreativeTeam,Writer,InteriorArtist,CoverArtist,WriterIsArtist,WriterIsCoverArtist,ArtistIsCoverArtist,Volume,CreatorOwned
61,141,1.29,JUL171883,NOW,9.99,Fantagraphics,2017-10-01,(W/A) Various (CA) Rebecca Morgan,Various,Various,Rebecca Morgan,True,False,False,,True
62,155,1.28,JAN160645,PAPER GIRLS,9.99,Image,2017-10-01,(W) Brian K. Vaughan (A/CA) Cliff Chiang,Brian K. Vaughan,Cliff Chiang,Cliff Chiang,False,False,True,1.0,True
63,103,1.26,NOV160051,BLACK HAMMER,14.99,Dark Horse,2017-10-01,(W) Jeff Lemire (A/CA) Dean Ormston,Jeff Lemire,Dean Ormston,Dean Ormston,False,False,True,1.0,True
64,159,1.24,APR160803,MONSTRESS,9.99,Image,2017-10-01,(W) Marjorie M. Liu (A/CA) Sana Takeda,Marjorie M. Liu,Sana Takeda,Sana Takeda,False,False,True,1.0,True
65,81,1.22,FEB140265-M,WATCHMEN,19.99,DC,2017-10-01,(W) Alan Moore (A/CA) Dave Gibbons,Alan Moore,Dave Gibbons,Dave Gibbons,False,False,True,1.0,False
66,43,1.21,JUL170476,GREEN LANTERN KYLE RAYNER,29.99,DC,2017-10-01,"(W) Ron Marz, Marv Wolfman, Tom Peyer, Frank Pittarese (A) Jamal Igle, Derec Aucoin, Bill Willingham, Fred Haynes, Steve Carr, Arnie Jorgensen, Will Rosado, Robert Campanella, Dennis Cramer, Craig Hamilton, James Dean Pascoe, Keith Champagne, Rich Rankin (A/CA) Darryl Banks, Romeo Tanghal","Ron Marz, Marv Wolfman, Tom Peyer, Frank Pittarese","Jamal Igle, Derec Aucoin, Bill Willingham, Fred Haynes, Steve Carr, Arnie Jorgensen, Will Rosado, Robert Campanella, Dennis Cramer, Craig Hamilton, James Dean Pascoe, Keith Champagne, Rich Rankin,Darryl Banks, Romeo Tanghal","Darryl Banks, Romeo Tanghal",False,False,True,1.0,False
67,101,1.19,JUL170491,LUCIFER,16.99,DC,2017-10-01,"(W) Richard Kadrey, Holly Black (A) Marco Rudy, Ben Templesmith (A/CA) Lee Garbett","Richard Kadrey, Holly Black","Marco Rudy, Ben Templesmith,Lee Garbett",Lee Garbett,False,False,True,3.0,False
68,83,1.19,AUG171225,RIVERDALE,17.99,Archie,2017-10-01,"(W) Roberto Aguirre-Sacasa, Brian E. Paterson, James DeWille, Michael Grassi, Will Ewing, Daniel King (A) Elliot Fernandez, Jim Towe, Thomas Pitilli, Alitha Martinez, Joe Eisma, Bob Smith (CA) Photo","Roberto Aguirre-Sacasa, Brian E. Paterson, James DeWille, Michael Grassi, Will Ewing, Daniel King","Elliot Fernandez, Jim Towe, Thomas Pitilli, Alitha Martinez, Joe Eisma, Bob Smith",Photo,False,False,False,1.0,False
69,46,1.17,JUL171196,THOR VS HULK,29.99,Marvel,2017-10-01,"(W) Stan Lee, Roy Thomas, Steve Englehart, Bill Mantlo, Peter David, Jim Shooter, Jeph Loeb, Peter B. Gillis, Erik Larsen, Jeff Parker (A) Jack Kirby, Angel Medina, Erik Larsen, Ed McGuinness, M. C. Wyman, Ron Wilson, Jorge Lucas, Gabriel Hardman (A/CA) Sal Buscema","Stan Lee, Roy Thomas, Steve Englehart, Bill Mantlo, Peter David, Jim Shooter, Jeph Loeb, Peter B. Gillis, Erik Larsen, Jeff Parker","Jack Kirby, Angel Medina, Erik Larsen, Ed McGuinness, M. C. Wyman, Ron Wilson, Jorge Lucas, Gabriel Hardman,Sal Buscema",Sal Buscema,False,False,True,1.0,False
70,99,1.16,JUL171211,ROYALS,17.99,Marvel,2017-10-01,"(W) Al Ewing (A) Ryan Sook, Chris Allen, Thony Silas (A/CA) Jonboy Meyers",Al Ewing,"Ryan Sook, Chris Allen, Thony Silas,Jonboy Meyers",Jonboy Meyers,False,False,True,1.0,False
71,86,1.14,APR172049,TANK GIRL WORLD WAR TANK GIRL,16.99,Titan,2017-10-01,(W) Alan Martin (A/CA) Brett Parson,Alan Martin,Brett Parson,Brett Parson,False,False,True,1.0,True
